Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2016;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;1;0;1;26549;
2016;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;7,11;14;72;63;149;1967259;
2016;1º;30412977;ADMINISTRADORA DE CONSORCIO NACIONAL LIDER LTDA; ;0;1;0;1;4488;
2016;1º;73230674;ADMINISTRADORA DE CONSORCIO RCI BRASIL LTDA; ;0;1;0;1;3237;
2016;1º;12228808;ADMINISTRADORA DE CONSORCIO SICOOB PARANA LTDA; ;0;0;1;1;10626;
2016;1º;91341925;ADMINISTRADORA DE CONSORCIO SPENGLER LTDA; ;0;4;2;6;8250;
2016;1º;03828278;ADMINISTRADORA DE CONSORCIOS BECKER LTDA; ;0;1;0;1;10128;
2016;1º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;0;9;3;12;160647;
2016;1º;94187879;AGIPLAN ADMINISTRADORA DE CONSORCIOS S A; ;0;2;4;6;6319;
2016;1º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S A; ;0;6;2;8;11172;
2016;1º;02010478;BANCORBRAS ADMINISTRADORA DE CONSORCIOS S A; ;0;2;9;11;9494;
2016;1º;06043050;BB ADMINISTRADORA DE CONSORCIOS S A; ;2;109;79;190;626938;
2016;1º;14723388;BR CONSORCIOS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;8;11;20;75864;
2016;1º;52568821;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA;2,47;3;261;219;483;1210696;
2016;1º;73235962;BREITKOPF ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;5606;
2016;1º;06046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3282;
2016;1º;05349595;CAIXA CONSORCIOS S A ADMINISTRADORA DE CONSORCIOS;129,45;18;95;57;170;139049;
2016;1º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S A; ;0;3;4;7;37376;
2016;1º;00266031;CICAL ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;4;4;3053;
2016;1º;13170428;CIMAVEL ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;3594;
2016;1º;59129403;CNF   ADMINISTRADORA DE CONSORCIOS NACIONAL LTDA; ;0;4;2;6;28607;
2016;1º;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;1;1;2;4;6225;
2016;1º;07336852;CONBRAV   ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;7556;
2016;1º;50827237;CONFIA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;2089;
2016;1º;50647296;CONPROF ADMINISTRADORA DE CONSORCIO LTDA; ;1;1;0;2;0;
2016;1º;81742223;CONSEG ADMINISTRADORA DE CONSORCIOS LTDA; ;1;0;0;1;24353;
2016;1º;47658539;CONSORCIO NACIONAL VOLKSWAGEN   ADMINISTRADORA DE CONSORCIO LTDA;37,43;10;146;90;246;267159;
2016;1º;27440684;CONTAUTO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;1;2;933;
2016;1º;58919903;CONVEF ADMINISTRADORA DE CONSORCIOS LTDA;213,55;3;9;4;16;14048;
2016;1º;05794450;DESTAQUE ADMINISTRADORA DE CONSORCIOS LTDA; ;1;0;0;1;436;
2016;1º;59395061;DISAL ADMINISTRADORA DE CONSORCIOS LTDA; ;1;28;20;49;198690;
2016;1º;58113812;EMBRACON ADMINISTRADORA DE CONSORCIO LTDA; ;0;80;119;199;147174;
2016;1º;91107581;FARROUPILHA ADMINISTRADORA DE CONSORCIOS LTDA; ;1;2;4;7;53844;
2016;1º;00600262;FERRAZ ADMINISTRACAO E CONSORCIOS LTDA; ;0;0;1;1;1781;
2016;1º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;1;4;1;6;8487;
2016;1º;04751943;FRANCAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;1804;
2016;1º;00643742;FUNDACAO HABITACIONAL DO EXERCITO   FHE; ;0;1;6;7;17537;
2016;1º;47820097;GAPLAN ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;2;2;18256;
2016;1º;85322204;GLOBO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;2;2;6896;
2016;1º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;38,50;4;37;39;80;103887;
2016;1º;02798858;GOVESA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;6685;
2016;1º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;3;6;3330;
2016;1º;26253658;GUARAPIRANGA VEICULOS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;4509;
2016;1º;03586655;H  ADMINISTRADORA DE CONSORCIOS LTDA; ;0;5;2;7;2367;
2016;1º;73516106;HS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;2;4;43553;
2016;1º;60241809;HSBC  BRASIL  ADMINISTRADORA DE CONSORCIO LTDA; ;1;19;18;38;49830;
2016;1º;00000776;ITAU ADMINISTRADORA DE CONSORCIOS LTDA;44,57;14;231;205;450;314085;
2016;1º;42421776;ITAU UNIBANCO VEICULOS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;59;53;113;89526;
2016;1º;60250776;LUIZA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;9;9;18;68046;
2016;1º;04250224;MAGGI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;5;5;17126;
2016;1º;17249375;MAPFRE ADMINISTRADORA DE CONSORCIOS S A; ;0;5;10;15;2079;
2016;1º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;1;3;23527;
2016;1º;76853043;MENEGALLI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;6406;
2016;1º;46349106;MERCABENCO MERCANTIL E ADMINISTRADORA DE BENS E CONSORCIOS LTDA; ;0;2;5;7;10601;
2016;1º;64479991;MINAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;1;2;1164;
2016;1º;05126027;MOTOASA ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;3;6;9;13554;
2016;1º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;18;20;11700;
2016;1º;05652765;NANUQUE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;3;3;21508;
2016;1º;50533876;PANAMERICANO ADMINISTRADORA DE CONSORCIO LTDA; ;0;16;12;28;8853;
2016;1º;16551061;PONTA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;4;9;13;34644;
2016;1º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;11;23;34;122308;
2016;1º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSORCIO LTDA; ;1;1;10;12;24752;
2016;1º;91108027;RANDON ADMINISTRADORA DE CONSORCIOS LTDA; ;1;5;1;7;53354;
2016;1º;66228966;REALIZA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;16;56;72;19670;
2016;1º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;10;13;40981;
2016;1º;92002609;REDE OESTE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;4952;
2016;1º;62354055;REMAZA ADMINISTRADORA DE CONSORCIO LTDA; ;0;12;31;43;20211;
2016;1º;28904092;RESERVA ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;380;
2016;1º;80402746;RIVEL ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;4525;
2016;1º;51855716;RODOBENS ADMINISTRADORA DE CONSORCIOS LTDA;37,22;4;29;36;69;107441;
2016;1º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSORCIO LTDA; ;0;2;9;11;13545;
2016;1º;96479258;SCANIA ADMINISTRADORA DE CONSORCIOS LTDA; ;1;3;1;5;25409;
2016;1º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;4;6;56025;
2016;1º;87852273;SINOSSERRA ADMINISTRADORA DE CONSORCIOS S A; ;0;2;2;4;6078;
