Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2022;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.; ;2;1;1;4;124575;
2022;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;1;0;1;61261;
2022;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;10,40;17;127;6;150;1633932;
2022;1º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;27,27;7;3;0;10;256635;
2022;1º;03765340;ADMINISTRADORA DE CONSÓRCIO NACIONAL VALOR S.A.; ;1;0;0;1;1337;
2022;1º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;0;9;1;10;17661;
2022;1º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;2;3;0;5;34448;
2022;1º;94187879;AGIBANK ADMINISTRADORA DE CONSÓRCIOS LTDA;2.192,98;3;3;0;6;1368;
2022;1º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;2;0;0;2;873;
2022;1º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;119,83;5;2;0;7;41723;
2022;1º;21275235;ATUAL ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;0;
2022;1º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;133,97;3;1;0;4;22393;
2022;1º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;9;0;10;13214;
2022;1º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;1;1;1;3;78780;
2022;1º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;60,60;91;115;10;216;1501414;
2022;1º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;10;1;13;71031;
2022;1º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;70,14;107;254;15;376;1525372;
2022;1º;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;5131;
