Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2022;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.; ;2;7;1;10;143993;
2022;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;2;0;2;64442;
2022;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;58,94;103;182;22;307;1747434;
2022;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;4;8;0;12;276056;
2022;2º;03765340;ADMINISTRADORA DE CONSÓRCIO NACIONAL VALOR S.A.; ;1;3;0;4;1166;
2022;2º;59999300;ADMINISTRADORA DE CONSÓRCIO NACIONAL VIME LTDA.; ;0;3;0;3;818;
2022;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;1;16;0;17;19711;
2022;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;0;1;0;1;4705;
2022;2º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;3;2;0;5;36772;
2022;2º;03828278;ADMINISTRADORA DE CONSÓRCIOS BECKER LTDA.; ;1;0;0;1;10848;
2022;2º;94187879;AGIBANK ADMINISTRADORA DE CONSÓRCIOS LTDA;8.988,76;12;5;1;18;1335;
2022;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;224;
2022;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.; ;3;3;1;7;45541;
2022;2º;03832228;APEC - ADMINISTRADORA DE CONSORCIOS S/A; ;0;1;0;1;427;
2022;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;2;1;5;25929;
2022;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;463,69;7;13;0;20;15096;
2022;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;3;6;0;9;80534;
