Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;33;3;36;1475;
2017;2º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S.A.; ;0;1;1;2;31993;
2017;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;1;3;4;47432;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;3,45;11;83;62;156;3181930;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;0;3;5;8;183383;
2017;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;0;6;1;7;11763;
2017;2º;03765340;ADMINISTRADORA DE CONSÓRCIO REGIONAL WAY LTDA.; ;0;0;4;4;4134;
2017;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;0;0;1;1;12765;
2017;2º;94187879;AGIPLAN ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;2;3;9888;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.; ;0;6;1;7;40093;
2017;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;4;5;10935;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;4;6;11;21861;
2017;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;0;4;0;4;54638;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;17,39;11;61;65;137;632265;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;6;22;28;114301;
2017;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;13,67;19;484;544;1047;1389750;
2017;2º;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;7594;
2017;2º;06046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;5409;
2017;2º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;4;2;7;2403;
2017;2º;05349595;CAIXA CONSÓRCIOS S.A ADMINISTRADORA DE CONSÓRCIOS;81,28;16;103;66;185;196849;
2017;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;0;6;4;10;77192;
2017;2º;00266031;CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;5079;
2017;2º;13170428;CIMAVEL ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;0;2;7807;
2017;2º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;0;5;5;10;62258;
2017;2º;62798475;CNK ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;7932;
2017;2º;81742223;CONSEG ADMINISTRADORA DE CONSÓRCIOS S/A; ;0;1;6;7;31433;
2017;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;1;2;5916;
2017;2º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;26,81;17;134;71;222;634066;
2017;2º;80990146;CONTEMPLA ADMINISTRADORA DE CONSORCIO LTDA.; ;0;0;1;1;0;
2017;2º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;7;1;8;29379;
2017;2º;61550836;COOPERATIVA MISTA JOCKEY CLUB DE SAO PAULO;1.341,08;3;48;0;51;2237;
2017;2º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;49;23;74;445857;
2017;2º;08570707;ELDORADO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;11204;
2017;2º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA; ;2;81;99;182;430675;
2017;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;57142;
2017;2º;78688462;FIPAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;9758;
2017;2º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;1;1;10;12;15968;
2017;2º;47820097;GAPLAN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;6500;
2017;2º;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;3;0;3;13505;
