Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2016;2º;91984633;3 PIRÂMIDES ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;2;3;6;2675;
2016;2º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S.A.; ;0;1;0;1;21201;
2016;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;5;4;9;28088;
2016;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;4,90;9;95;66;170;1833540;
2016;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;0;3;1;4;170866;
2016;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;0;3;6;9;3731;
2016;2º;83427823;ADMINISTRADORA DE CONSÓRCIO REAL LTDA.; ;0;1;0;1;0;
2016;2º;12228808;ADMINISTRADORA DE CONSÓRCIO SICOOB PARANÁ LTDA.; ;0;1;1;2;11627;
2016;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;0;0;2;2;8387;
2016;2º;03828278;ADMINISTRADORA DE CONSÓRCIOS BECKER LTDA.; ;1;0;1;2;9890;
2016;2º;94187879;AGIPLAN ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;0;0;1;5364;
2016;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.; ;1;3;7;11;12144;
2016;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;5;9;15;9938;
2016;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;0;1;0;1;45618;
2016;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;8,88;6;88;104;198;675497;
2016;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;5;21;26;70551;
2016;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;8,44;11;389;302;702;1303264;
2016;2º;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;5417;
2016;2º;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;3050;
2016;2º;06046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3255;
2016;2º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;2;0;2;1941;
2016;2º;05349595;CAIXA CONSÓRCIOS S.A ADMINISTRADORA DE CONSÓRCIOS;139,42;19;128;72;219;136274;
2016;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;1;8;6;15;40712;
2016;2º;00266031;CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;3192;
2016;2º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;0;2;4;6;28548;
2016;2º;62798475;CNK ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;4172;
2016;2º;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;6438;
2016;2º;92459213;CONESUL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;0;2;4;1118;
2016;2º;81742223;CONSEG ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;3;2;5;25581;
2016;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;0;1;6611;
2016;2º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;59,98;15;161;83;259;250070;
2016;2º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;4;4;9;14957;
2016;2º;61550836;COOPERATIVA MISTA JOCKEY CLUB DE SAO PAULO; ;0;0;1;1;281;
2016;2º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;15,10;3;29;33;65;198605;
2016;2º;08570707;ELDORADO ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;7005;
2016;2º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA;27,04;4;113;189;306;147918;
2016;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;3;4;51804;
2016;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;1;3;2;6;8353;
2016;2º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;0;1;6;7;18350;
2016;2º;82942400;GAMBATTO ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;0;1;1;6621;
2016;2º;47820097;GAPLAN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;1;2;18570;
2016;2º;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;2;3;6839;
2016;2º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA; ;1;40;39;80;110185;
2016;2º;02798858;GOVESA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;1;2;6311;
2016;2º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;1;2;3377;
2016;2º;03586655;H. ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;2;0;2;2123;
2016;2º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;2;2;4;48741;
2016;2º;07970374;ITABENS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;0;
2016;2º;06181431;ITAUNA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;5;5;4859;
2016;2º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;22,05;7;174;175;356;317333;
2016;2º;42421776;ITAÚ UNIBANCO VEÍCULOS ADMINISTRADORA DE CONSÓRCIOS LTDA.;51,69;4;38;42;84;77377;
2016;2º;60241809;KIRTON ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;9;8;18;50521;
2016;2º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;8;12;20;62926;
2016;2º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;5;6;18868;
2016;2º;17249375;MAPFRE ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;4;5;10;2157;
2016;2º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;2;2;4;24704;
2016;2º;46349106;MERCABENCO MERCANTIL E ADMINISTRADORA DE BENS E CONSÓRCIOS LTDA.; ;0;2;2;4;10939;
2016;2º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;5;23;28;13327;
2016;2º;05652765;NANUQUE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;21347;
2016;2º;33636838;NASA ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;2;1;3;263;
2016;2º;50533876;PANAMERICANO ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;12;22;34;6008;
2016;2º;16551061;PONTA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;5;6;11;39728;
2016;2º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;14;27;42;125287;
2016;2º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;3;5;9654;
2016;2º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;9;11;24752;
2016;2º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;3;1;4;52984;
2016;2º;66228966;REALIZA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;21;61;84;21117;
2016;2º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;10;12;37964;
2016;2º;92002609;REDE OESTE ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;1;2;5104;
2016;2º;62246228;REDENÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;2748;
2016;2º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;14;24;38;20603;
2016;2º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;38;29;69;109320;
2016;2º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;72,55;3;10;18;31;41350;
2016;2º;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;1;1;3;26201;
2016;2º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;2;4;57167;
2016;2º;50543883;SIMÃO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;2;2;1363;
2016;2º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;4173;
2016;2º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS S/A.; ;0;1;7;8;6241;
2016;2º;54708839;SPERTA ADMINISTRADORA DE CONSORCIO NACIONAL LTDA; ;0;0;2;2;27709;
2016;2º;87636635;SPONCHIADO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;3;4;7061;
2016;2º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;3;6;10;13333;
2016;2º;53211488;TARRAF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;2;2;4;12382;
2016;2º;05551841;TÁGIDE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;1997;
2016;2º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;3;2;5;8453;
2016;2º;78199262;TRIÂNGULO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;9767;
2016;2º;83553883;UNIÃO CATARINENSE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;4;4;9523;
2016;2º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA; ;0;3;21;24;10921;
2016;2º;81269516;UNILANCE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;22;16;38;17115;
