Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2015;1º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S A; ;1;0;0;1;17796;
2015;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;0;1;1;23839;
2015;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;3,22;7;77;53;137;2173222;
2015;1º;73230674;ADMINISTRADORA DE CONSORCIO RCI BRASIL LTDA; ;0;8;3;11;2676;
2015;1º;03765340;ADMINISTRADORA DE CONSORCIO REGIONAL WAY LTDA; ;0;0;1;1;3603;
2015;1º;12228808;ADMINISTRADORA DE CONSORCIO SICOOB PARANA LTDA; ;0;1;2;3;8725;
2015;1º;91341925;ADMINISTRADORA DE CONSORCIO SPENGLER LTDA; ;0;2;2;4;10489;
2015;1º;03828278;ADMINISTRADORA DE CONSORCIOS BECKER LTDA; ;0;0;2;2;11943;
2015;1º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;0;2;1;3;139225;
2015;1º;94187879;AGIPLAN ADMINISTRADORA DE CONSORCIOS S A; ;0;0;1;1;6926;
2015;1º;69273308;AGRABEN ADMINISTRADORA DE CONSORCIOS LTDA; ;1;1;1;3;33927;
2015;1º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S A; ;0;3;0;3;9744;
2015;1º;02010478;BANCORBRAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;4;4;9504;
2015;1º;92692979;BANRISUL S A    ADMINISTRADORA DE CONSORCIOS; ;1;2;2;5;39215;
2015;1º;06043050;BB ADMINISTRADORA DE CONSORCIOS S A;8,22;5;41;66;112;607548;
2015;1º;14723388;BR CONSORCIOS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;10;16;27;87525;
2015;1º;52568821;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA;4,48;5;150;232;387;1115667;
2015;1º;45713971;BRQUALY ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;0;3;1290;
2015;1º;05349595;CAIXA CONSORCIOS S A ADMINISTRADORA DE CONSORCIOS;194,12;28;183;202;413;144234;
2015;1º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S A; ;0;1;2;3;37494;
2015;1º;95783262;CARLESSI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;4244;
2015;1º;00266031;CICAL ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3505;
2015;1º;59129403;CNF   ADMINISTRADORA DE CONSORCIOS NACIONAL LTDA; ;1;8;13;22;30988;
2015;1º;62798475;CNK ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;3;3;4716;
2015;1º;27268770;COIMEX ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;3093;
2015;1º;75770164;CONBR ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;332;
2015;1º;07336852;CONBRAV   ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;2;3;6945;
2015;1º;81742223;CONSEG ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;1;4;22672;
2015;1º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;0;3;6264;
2015;1º;47658539;CONSORCIO NACIONAL VOLKSWAGEN   ADMINISTRADORA DE CONSORCIO LTDA; ;1;84;174;259;292072;
2015;1º;27440684;CONTAUTO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;1507;
2015;1º;58919903;CONVEF ADMINISTRADORA DE CONSORCIOS LTDA; ;0;5;5;10;13770;
2015;1º;95790267;DIMAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;765;
2015;1º;59395061;DISAL ADMINISTRADORA DE CONSORCIOS LTDA; ;1;41;60;102;197860;
2015;1º;01659838;DISBRAVE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;1166;
2015;1º;58113812;EMBRACON ADMINISTRADORA DE CONSORCIO LTDA; ;2;50;144;196;148658;
2015;1º;91107581;FARROUPILHA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;2;5;33661;
2015;1º;04751943;FRANCAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;0;1;1675;
2015;1º;85322204;GLOBO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;6550;
2015;1º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;69,36;7;59;73;139;100921;
2015;1º;02798858;GOVESA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;3;4;7600;
2015;1º;91338228;GRAVEL ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;1;2;4826;
2015;1º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;0;2;3251;
2015;1º;03586655;H  ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;5;7;2493;
2015;1º;73516106;HS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;36837;
